kab_code,balita,lansia,pertanian,merokok,no_access_food,hunian_tak_layak,persen_desa_laut,persen_kel_sungai,persen_disabilitas
1271,7.17766947275144,4.60788657509969,6.823216659282233,22.02038103677448,0.7299270072992701,2.0072992700729926,64.71,2.26,0.15
1272,10.628674807779284,3.889642695612846,9.995477159656264,21.16689280868385,4.788213627992634,1.841620626151013,0,4.08,0.15
1273,8.879310344827587,4.870689655172414,2.6724137931034484,17.24137931034483,7.224958949096881,0.3284072249589491,0,0.54,0.12
1274,7.819548872180452,3.8095238095238098,2.907268170426065,19.44862155388471,9.34065934065934,0,0,1.22,0.27
1275,7.936507936507936,5.043522785458269,1.7409114183307732,16.43625192012289,8.414872798434443,0.09784735812133072,3.97,1.49,0.07
1276,7.514983863531581,4.472106961733518,3.872752420470263,14.384508990318118,8.12720848056537,0.176678445229682,0,0.32,0.17
1277,9.675967596759676,3.2403240324032403,8.64086408640864,21.377137713771376,12.522045855379188,7.936507936507936,0,1.62,0.31
1278,9.384858044164035,4.298107255520505,16.443217665615144,16.16719242902208,28.388278388278387,8.241758241758241,31.68,0.75,0.44
1301,7.960199004975125,3.1840796019900495,37.81094527363184,22.08955223880597,27.392120075046904,24.01500938086304,76.74,3.69,0.32
1302,9.694555112881806,5.843293492695882,22.045152722443557,21.71314741035856,9.193776520509193,2.828854314002829,20.88,2.33,0.62
1303,8.907363420427552,6.175771971496437,35.55027711797308,24.54473475851148,5.061349693251533,3.834355828220859,0,1.89,0.53
1304,9.279717189571365,4.286345558992489,20.7688908528502,23.420238621299163,12.56637168141593,4.601769911504426,0,2.81,0.72
1305,7.4681986048420175,9.232663110381615,23.79975379565039,23.18424292162495,3.211009174311927,1.376146788990826,0,0.18,0.74
1306,8.284241531664211,7.768777614138438,16.384388807069218,22.27540500736377,17.835365853658537,2.2865853658536586,13.59,0.72,0.87
1307,9.924190213645762,9.166092350103378,21.088904203997245,21.95037904893177,10.854816824966075,1.2211668928086838,2.2,0.42,0.58
1308,7.011070110701108,7.339073390733908,25.051250512505124,23.493234932349328,5.51301684532925,2.143950995405819,0,1.64,0.64
1309,9.172809172809172,5.241605241605242,30.13923013923014,22.07207207207207,6.688417618270799,3.262642740619902,0,2.4,0.57
1310,10.86464463558171,4.119511090991399,25.848800362154822,24.354911724762335,11.77536231884058,2.5362318840579707,0,1.65,0.71
1311,9.15371329879102,4.57685664939551,21.632124352331605,21.157167530224523,3.565640194489465,1.1345218800648298,0,0.5,0.7
1312,9.613130128956625,3.6342321219226257,21.727237202032047,22.391559202813603,8.242612752721618,2.6438569206842923,7.69,1.4,0.37
1371,8.075933075933076,5.534105534105534,2.9922779922779923,19.015444015444015,13.780025284450062,0.6321112515802781,23.08,0.27,0.17
