idkab;adap_score;persen_anggaran_bencana;persen_anggaran_kesehatan;persen_anggaran_pangan;persen_anggaran_sampah;persen_anggaran_lh;persen_anggaran_jalan;nmprov;nmkab
1672;50.8870886548102;0.02;18.41;0.1;0.0;0.03;;SUMATERA SELATAN;PRABUMULIH KOTA
1673;47.881982411917;0.01;20.28;0.13;0.01;0.05;;SUMATERA SELATAN;PAGAR ALAM KOTA
1674;48.3645408851328;0.05;17.74;0.13;0.54;0.02;;SUMATERA SELATAN;LUBUKLINGGAU KOTA
1701;49.4009483166375;0.66;15.68;0.4;0.04;0.02;3.66;BENGKULU;BENGKULU SELATAN 
1702;45.7209742694037;0.12;20.51;0.12;0.64;0.02;3.65;BENGKULU;REJANG LEBONG 
1703;47.1284942339497;0.62;16.25;0.01;0.24;0.04;1.55;BENGKULU;BENGKULU UTARA 
1704;42.5703014014118;1.22;13.81;0.18;0.13;0.05;;BENGKULU;KAUR 
1705;44.6828925860597;0.05;14.02;0.02;0.01;0.0;;BENGKULU;SELUMA 
1706;49.7766311904523;0.12;15.86;0.15;0.15;0.04;2.58;BENGKULU;MUKOMUKO 
1707;44.6014779984783;0.08;13.85;0.31;0.21;0.5;;BENGKULU;LEBONG 
1708;44.4856175947875;0.07;16.28;0.08;0.66;0.05;7.78;BENGKULU;KEPAHIANG 
1709;45.5578203357221;0.05;14.35;0.06;0.07;0.02;6.42;BENGKULU;BENGKULU TENGAH 
1771;55.8969946719598;0.15;15.66;0.08;0.37;0.13;;BENGKULU;BENGKULU KOTA
1801;42.4404164304592;1.0;17.15;0.17;0.23;0.09;;LAMPUNG;LAMPUNG BARAT 
1802;41.7951648320186;0.4;12.63;0.24;0.08;0.02;;LAMPUNG;TANGGAMUS 
1803;41.0980629942983;0.36;16.52;0.2;0.04;0.12;5.25;LAMPUNG;LAMPUNG SELATAN 
1804;40.8195861026712;0.16;11.92;0.31;0.1;0.05;;LAMPUNG;LAMPUNG TIMUR 
1805;42.2102564875602;0.11;11.32;0.36;0.04;0.09;7.22;LAMPUNG;LAMPUNG TENGAH 
1806;40.3190015235753;0.4;12.57;0.04;0.34;0.06;;LAMPUNG;LAMPUNG UTARA 
1807;41.0491120702265;0.12;14.34;0.08;0.11;0.07;6.5;LAMPUNG;WAY KANAN 
1808;37.5033885359349;0.1;15.62;0.43;0.17;0.06;;LAMPUNG;TULANGBAWANG 
1809;41.0414282937185;0.37;8.99;0.13;0.07;0.04;5.61;LAMPUNG;PESAWARAN 
1810;42.302958648472;0.05;15.19;0.47;0.13;0.14;3.91;LAMPUNG;PRINGSEWU 
1811;37.2811444987665;0.1;17.97;0.76;0.03;0.03;5.03;LAMPUNG;MESUJI 
1812;41.8328441345563;0.07;10.5;0.09;0.17;0.07;;LAMPUNG;TULANG BAWANG BARAT 
1813;41.4466011574304;0.04;9.38;0.09;0.21;0.0;12.56;LAMPUNG;PESISIR BARAT 
1871;51.3414655719251;0.42;14.42;0.02;0.05;0.01;;LAMPUNG;BANDAR LAMPUNG KOTA
1872;54.5848717886523;0.07;31.22;0.12;0.14;0.03;2.38;LAMPUNG;METRO KOTA
1901;45.0484006832202;0.09;17.7;0.02;0.6;0.07;8.37;KEPULAUAN BANGKA BELITUNG;BANGKA 
1902;48.9508612643927;0.23;22.08;0.1;0.69;0.13;8.03;KEPULAUAN BANGKA BELITUNG;BELITUNG 
1903;41.5994808484888;0.07;18.23;0.13;1.33;0.12;;KEPULAUAN BANGKA BELITUNG;BANGKA BARAT 
1904;43.6028428938199;0.5;19.02;0.13;0.17;0.08;;KEPULAUAN BANGKA BELITUNG;BANGKA TENGAH 
1905;40.3702745032028;0.03;19.03;0.06;0.38;0.02;;KEPULAUAN BANGKA BELITUNG;BANGKA SELATAN 
1906;49.6202524935252;0.52;11.14;0.11;0.75;0.13;;KEPULAUAN BANGKA BELITUNG;BELITUNG TIMUR 
1971;51.3301183292097;0.49;19.35;0.04;1.69;0.15;3.53;KEPULAUAN BANGKA BELITUNG;PANGKALPINANG KOTA
2101;44.8081812697778;0.06;17.07;0.12;0.13;0.04;;KEPULAUAN RIAU;KARIMUN 
2102;52.1292538673928;0.21;16.64;0.07;1.23;0.01;;KEPULAUAN RIAU;BINTAN 
2103;49.9936799220652;0.07;17.87;0.18;0.26;0.02;6.2;KEPULAUAN RIAU;NATUNA 
2104;45.7161372124359;0.09;15.98;0.06;0.35;0.05;;KEPULAUAN RIAU;LINGGA 
2105;48.6539472160439;0.07;17.02;0.15;0.28;0.02;;KEPULAUAN RIAU;KEPULAUAN ANAMBAS 
2171;48.7191318493412;0.0;11.46;0.04;2.87;0.04;6.9;KEPULAUAN RIAU;B A T A M KOTA
2172;54.2472768955736;0.77;21.11;0.09;0.81;0.03;3.42;KEPULAUAN RIAU;TANJUNG PINANG KOTA
3101;45.4161059821728;;;;;;;DKI JAKARTA;KEPULAUAN SERIBU 
3171;59.3031219049252;;;;;;;DKI JAKARTA;JAKARTA SELATAN KOTA
3172;58.1916656244429;;;;;;;DKI JAKARTA;JAKARTA TIMUR KOTA
3173;57.8347957965335;;;;;;;DKI JAKARTA;JAKARTA PUSAT KOTA
3174;59.7228456756907;;;;;;;DKI JAKARTA;JAKARTA BARAT KOTA
3175;58.566872432581;;;;;;;DKI JAKARTA;JAKARTA UTARA KOTA
3201;40.8129039931528;0.85;16.48;0.12;0.77;0.1;;JAWA BARAT;BOGOR 
3202;39.3967671016761;0.07;17.39;0.18;0.31;0.09;;JAWA BARAT;SUKABUMI 
3203;36.2876605312313;0.77;24.03;0.16;0.22;0.08;3.55;JAWA BARAT;CIANJUR 
3204;44.3733338477593;0.17;19.24;0.19;0.65;0.09;;JAWA BARAT;BANDUNG 
3205;38.4991117949059;0.3;15.73;0.3;0.34;0.05;;JAWA BARAT;GARUT 
3206;38.8100605215208;0.11;12.75;0.08;0.03;0.0;2.0;JAWA BARAT;TASIKMALAYA 
3207;43.2541620541511;0.0;14.0;;;;;JAWA BARAT;CIAMIS 
3208;44.4289409365597;0.11;16.85;0.19;0.06;0.03;;JAWA BARAT;KUNINGAN 
3209;42.9612155991647;0.12;22.31;0.04;0.54;0.05;;JAWA BARAT;CIREBON 
3210;43.8122947661136;0.08;26.76;0.08;0.13;0.04;;JAWA BARAT;MAJALENGKA 
3211;44.1023713925043;0.1;16.85;0.19;0.18;0.01;2.99;JAWA BARAT;SUMEDANG 
3212;42.7900849507113;0.07;19.63;0.35;0.64;0.1;;JAWA BARAT;INDRAMAYU 
3213;43.3449406703138;0.1;13.61;0.04;0.39;0.04;;JAWA BARAT;SUBANG 
3214;39.5649757568739;0.46;14.64;0.05;0.09;0.12;;JAWA BARAT;PURWAKARTA 
3215;43.5996324597493;0.23;15.99;0.23;0.57;0.14;4.57;JAWA BARAT;KARAWANG 
3216;47.2025986388466;0.36;14.57;0.08;1.47;0.15;;JAWA BARAT;BEKASI 
3217;39.4266126808804;0.19;11.28;0.1;0.97;0.07;6.29;JAWA BARAT;BANDUNG BARAT 
