idkab;nmprov;nmkab;persen_anggaran_kesehatan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
1611;SUMATERA SELATAN;EMPAT LAWANG ;14.72;0.28;0.1;37.1734565756896;42.217721211878064
1612;SUMATERA SELATAN;PENUKAL ABAB LEMATANG ILIR ;12.11;0.04;0.18;42.8033886650074;40.23768358691248
1613;SUMATERA SELATAN;MUSI RAWAS UTARA ;12.71;0.05;0.08;37.5957333608499;40.15559261384142
1671;SUMATERA SELATAN;PALEMBANG KOTA;14.85;1.52;0.03;50.3347678425306;47.847560943469404
1672;SUMATERA SELATAN;PRABUMULIH KOTA;18.41;0.0;0.03;50.8870886548102;42.26663473477404
1673;SUMATERA SELATAN;PAGAR ALAM KOTA;20.28;0.01;0.05;47.881982411917;43.228367346093506
1674;SUMATERA SELATAN;LUBUKLINGGAU KOTA;17.74;0.54;0.02;48.3645408851328;44.47521066669949
1701;BENGKULU;BENGKULU SELATAN ;15.68;0.04;0.02;49.4009483166375;41.196441744216244
1702;BENGKULU;REJANG LEBONG ;20.51;0.64;0.02;45.7209742694037;46.18401063566343
1703;BENGKULU;BENGKULU UTARA ;16.25;0.24;0.04;47.1284942339497;42.473960408247095
1704;BENGKULU;KAUR ;13.81;0.13;0.05;42.5703014014118;40.9050789921952
1705;BENGKULU;SELUMA ;14.02;0.01;0.0;44.6828925860597;40.23413967554716
1706;BENGKULU;MUKOMUKO ;15.86;0.15;0.04;49.7766311904523;41.87520758034186
1707;BENGKULU;LEBONG ;13.85;0.21;0.5;44.6014779984783;43.08783105135578
1708;BENGKULU;KEPAHIANG ;16.28;0.66;0.05;44.4856175947875;44.50847584274645
1709;BENGKULU;BENGKULU TENGAH ;14.35;0.07;0.02;45.5578203357221;40.744012691379645
1771;BENGKULU;BENGKULU KOTA;15.66;0.37;0.13;55.8969946719598;43.181260825570774
1801;LAMPUNG;LAMPUNG BARAT ;17.15;0.23;0.09;42.4404164304592;43.02731921181766
1802;LAMPUNG;TANGGAMUS ;12.63;0.08;0.02;41.7951648320186;40.02306349812287
1803;LAMPUNG;LAMPUNG SELATAN ;16.52;0.04;0.12;41.0980629942983;41.968790454868795
1804;LAMPUNG;LAMPUNG TIMUR ;11.92;0.1;0.05;40.8195861026712;39.91950604588649
1805;LAMPUNG;LAMPUNG TENGAH ;11.32;0.04;0.09;42.2102564875602;39.52738587528452
1806;LAMPUNG;LAMPUNG UTARA ;12.57;0.34;0.06;40.3190015235753;41.38173408507332
1807;LAMPUNG;WAY KANAN ;14.34;0.11;0.07;41.0491120702265;41.126860116687304
1808;LAMPUNG;TULANGBAWANG ;15.62;0.17;0.06;37.5033885359349;41.941823054408694
1809;LAMPUNG;PESAWARAN ;8.99;0.07;0.04;41.0414282937185;38.42976347348677
1810;LAMPUNG;PRINGSEWU ;15.19;0.13;0.14;42.302958648472;41.87886154217587
1811;LAMPUNG;MESUJI ;17.97;0.03;0.03;37.2811444987665;42.21166586182542
1812;LAMPUNG;TULANG BAWANG BARAT ;10.5;0.17;0.07;41.8328441345563;39.69503233430867
1813;LAMPUNG;PESISIR BARAT ;9.38;0.21;0.0;41.4466011574304;39.10550969071128
1871;LAMPUNG;BANDAR LAMPUNG KOTA;14.42;0.05;0.01;51.3414655719251;40.641199632544854
1872;LAMPUNG;METRO KOTA;31.22;0.14;0.03;54.5848717886523;48.64784719330053
1901;KEPULAUAN BANGKA BELITUNG;BANGKA ;17.7;0.6;0.07;45.0484006832202;44.93901275427793
1902;KEPULAUAN BANGKA BELITUNG;BELITUNG ;22.08;0.69;0.13;48.9508612643927;47.55796827721463
1903;KEPULAUAN BANGKA BELITUNG;BANGKA BARAT ;18.23;1.33;0.12;41.5994808484888;48.81816657098768
1904;KEPULAUAN BANGKA BELITUNG;BANGKA TENGAH ;19.02;0.17;0.08;43.6028428938199;43.53965380934593
1905;KEPULAUAN BANGKA BELITUNG;BANGKA SELATAN ;19.03;0.38;0.02;40.3702745032028;44.29648706390673
1906;KEPULAUAN BANGKA BELITUNG;BELITUNG TIMUR ;11.14;0.75;0.13;49.6202524935252;42.95539074516776
1971;KEPULAUAN BANGKA BELITUNG;PANGKALPINANG KOTA;19.35;1.69;0.15;51.3301183292097;51.1358460413297
2101;KEPULAUAN RIAU;KARIMUN ;17.07;0.13;0.04;44.8081812697778;42.3212225947765
