idkab;nmprov;nmkab;persen_anggaran_kesehatan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
1506;JAMBI;TANJUNG JABUNG TIMUR ;12.11;0.06;0.43;37.7541261414475;28.56591
1507;JAMBI;TANJUNG JABUNG BARAT ;14.37;0.47;0.13;39.0559264916049;28.56591
1508;JAMBI;TEBO ;18.31;0.26;0.01;41.0272233984671;28.56591
1509;JAMBI;BUNGO ;18.45;0.53;0.02;45.4575053931699;28.56591
1571;JAMBI;JAMBI KOTA;14.91;1.81;0.12;52.1435918402339;29.9935
1572;JAMBI;SUNGAI PENUH KOTA;19.49;0.72;0.32;57.5618636094455;29.9935
1601;SUMATERA SELATAN;OGAN KOMERING ULU ;12.57;0.16;0.11;45.550738892438;28.56591
1602;SUMATERA SELATAN;OGAN KOMERING ILIR ;12.99;0.2;0.14;37.459781307314;28.56591
1603;SUMATERA SELATAN;MUARA ENIM ;17.1;0.2;0.1;44.1709840795326;28.56591
1604;SUMATERA SELATAN;LAHAT ;15.95;0.18;0.05;44.4263058440145;28.56591
1605;SUMATERA SELATAN;MUSI RAWAS ;14.79;0.14;0.15;40.8697408928296;28.56591
1606;SUMATERA SELATAN;MUSI BANYUASIN ;18.69;0.83;0.12;40.8780723326917;29.9935
1607;SUMATERA SELATAN;BANYU ASIN ;11.34;0.23;0.15;35.8370963463383;28.56591
1609;SUMATERA SELATAN;OGAN KOMERING ULU TIMUR ;16.19;0.18;0.02;40.963671696747;28.56591
1610;SUMATERA SELATAN;OGAN ILIR ;12.3;0.28;0.08;40.9200401791956;28.56591
1611;SUMATERA SELATAN;EMPAT LAWANG ;14.72;0.28;0.1;37.1734565756896;28.56591
1612;SUMATERA SELATAN;PENUKAL ABAB LEMATANG ILIR ;12.11;0.04;0.18;42.8033886650074;28.56591
1613;SUMATERA SELATAN;MUSI RAWAS UTARA ;12.71;0.05;0.08;37.5957333608499;28.56591
1671;SUMATERA SELATAN;PALEMBANG KOTA;14.85;1.52;0.03;50.3347678425306;29.9935
1672;SUMATERA SELATAN;PRABUMULIH KOTA;18.41;0.0;0.03;50.8870886548102;28.56591
1673;SUMATERA SELATAN;PAGAR ALAM KOTA;20.28;0.01;0.05;47.881982411917;28.56591
1674;SUMATERA SELATAN;LUBUKLINGGAU KOTA;17.74;0.54;0.02;48.3645408851328;28.56591
1701;BENGKULU;BENGKULU SELATAN ;15.68;0.04;0.02;49.4009483166375;28.56591
1702;BENGKULU;REJANG LEBONG ;20.51;0.64;0.02;45.7209742694037;28.56591
1703;BENGKULU;BENGKULU UTARA ;16.25;0.24;0.04;47.1284942339497;28.56591
1704;BENGKULU;KAUR ;13.81;0.13;0.05;42.5703014014118;28.56591
1705;BENGKULU;SELUMA ;14.02;0.01;0.0;44.6828925860597;28.56591
1706;BENGKULU;MUKOMUKO ;15.86;0.15;0.04;49.7766311904523;28.56591
1707;BENGKULU;LEBONG ;13.85;0.21;0.5;44.6014779984783;28.56591
1708;BENGKULU;KEPAHIANG ;16.28;0.66;0.05;44.4856175947875;29.9935
1709;BENGKULU;BENGKULU TENGAH ;14.35;0.07;0.02;45.5578203357221;28.56591
