idkab;nmprov;nmkab;persen_anggaran_kesehatan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
1808;LAMPUNG;TULANGBAWANG ;15.62;0.17;0.06;37.5033885359349;42.5519431456066
1809;LAMPUNG;PESAWARAN ;8.99;0.07;0.04;41.0414282937185;38.25176011517278
1810;LAMPUNG;PRINGSEWU ;15.19;0.13;0.14;42.302958648472;42.043384046672124
1811;LAMPUNG;MESUJI ;17.97;0.03;0.03;37.2811444987665;42.33532739173957
1812;LAMPUNG;TULANG BAWANG BARAT ;10.5;0.17;0.07;41.8328441345563;39.89954038076285
1813;LAMPUNG;PESISIR BARAT ;9.38;0.21;0.0;41.4466011574304;41.11085530637921
1871;LAMPUNG;BANDAR LAMPUNG KOTA;14.42;0.05;0.01;51.3414655719251;41.400612856385045
1872;LAMPUNG;METRO KOTA;31.22;0.14;0.03;54.5848717886523;48.53647138805114
1901;KEPULAUAN BANGKA BELITUNG;BANGKA ;17.7;0.6;0.07;45.0484006832202;45.27206815935789
1902;KEPULAUAN BANGKA BELITUNG;BELITUNG ;22.08;0.69;0.13;48.9508612643927;48.33832276172938
1903;KEPULAUAN BANGKA BELITUNG;BANGKA BARAT ;18.23;1.33;0.12;41.5994808484888;50.60576753884142
1904;KEPULAUAN BANGKA BELITUNG;BANGKA TENGAH ;19.02;0.17;0.08;43.6028428938199;43.08924076926638
1905;KEPULAUAN BANGKA BELITUNG;BANGKA SELATAN ;19.03;0.38;0.02;40.3702745032028;43.79545480907159
1906;KEPULAUAN BANGKA BELITUNG;BELITUNG TIMUR ;11.14;0.75;0.13;49.6202524935252;45.96935071791417
1971;KEPULAUAN BANGKA BELITUNG;PANGKALPINANG KOTA;19.35;1.69;0.15;51.3301183292097;51.75284582986099
2101;KEPULAUAN RIAU;KARIMUN ;17.07;0.13;0.04;44.8081812697778;42.536963960359074
2102;KEPULAUAN RIAU;BINTAN ;16.64;1.23;0.01;52.1292538673928;49.90634166466796
2103;KEPULAUAN RIAU;NATUNA ;17.87;0.26;0.02;49.9936799220652;43.56410797266846
2104;KEPULAUAN RIAU;LINGGA ;15.98;0.35;0.05;45.7161372124359;43.02265918289292
2105;KEPULAUAN RIAU;KEPULAUAN ANAMBAS ;17.02;0.28;0.02;48.6539472160439;43.56410797266846
2171;KEPULAUAN RIAU;B A T A M KOTA;11.46;2.87;0.04;48.7191318493412;51.6452967296007
2172;KEPULAUAN RIAU;TANJUNG PINANG KOTA;21.11;0.81;0.03;54.2472768955736;48.959744724603894
3201;JAWA BARAT;BOGOR ;16.48;0.77;0.1;40.8129039931528;48.10096887262304
3202;JAWA BARAT;SUKABUMI ;17.39;0.31;0.09;39.3967671016761;43.459137692425266
3203;JAWA BARAT;CIANJUR ;24.03;0.22;0.08;36.2876605312313;44.742548199608734
3204;JAWA BARAT;BANDUNG ;19.24;0.65;0.09;44.3733338477593;45.65707422421058
3205;JAWA BARAT;GARUT ;15.73;0.34;0.05;38.4991117949059;43.02265918289292
3206;JAWA BARAT;TASIKMALAYA ;12.75;0.03;0.0;38.8100605215208;40.564039111404966
3208;JAWA BARAT;KUNINGAN ;16.85;0.06;0.03;44.4289409365597;42.11387328134007
3209;JAWA BARAT;CIREBON ;22.31;0.54;0.05;42.9612155991647;45.299769133126034
3210;JAWA BARAT;MAJALENGKA ;26.76;0.13;0.04;43.8122947661136;45.72549442371782
3211;JAWA BARAT;SUMEDANG ;16.85;0.18;0.01;44.1023713925043;42.97899840706722
3212;JAWA BARAT;INDRAMAYU ;19.63;0.64;0.1;42.7900849507113;45.58582138654235
3213;JAWA BARAT;SUBANG ;13.61;0.39;0.04;43.3449406703138;42.365048430210024
3214;JAWA BARAT;PURWAKARTA ;14.64;0.09;0.12;39.5649757568739;41.55177872373699
3215;JAWA BARAT;KARAWANG ;15.99;0.57;0.14;43.5996324597493;44.14415300760117
3216;JAWA BARAT;BEKASI ;14.57;1.47;0.15;47.2025986388466;50.8731095534023
3217;JAWA BARAT;BANDUNG BARAT ;11.28;0.97;0.07;39.4266126808804;47.55054741748466
3218;JAWA BARAT;PANGANDARAN ;19.76;0.33;0.02;45.9587051435619;43.649739580389536
3271;JAWA BARAT;BOGOR KOTA;17.88;0.86;0.22;51.4979772086458;49.8469554397576
3272;JAWA BARAT;SUKABUMI KOTA;36.07;0.26;0.05;48.5016952389032;49.18628690236585
3273;JAWA BARAT;BANDUNG KOTA;18.22;1.97;0.09;57.254268117538;53.229099185424666
3274;JAWA BARAT;CIREBON KOTA;32.03;0.86;0.02;56.6097640908969;54.52585106534248
3275;JAWA BARAT;BEKASI KOTA;17.81;2.86;0.13;57.0716953751491;53.02715011175056
3277;JAWA BARAT;CIMAHI KOTA;22.54;1.95;0.23;54.520336837726;53.958802144268034
3278;JAWA BARAT;TASIKMALAYA KOTA;20.35;0.87;0.11;46.7232979593583;49.34476842986022
3279;JAWA BARAT;BANJAR KOTA;28.08;0.05;0.03;50.0299558058881;46.4050756989526
3301;JAWA TENGAH;CILACAP ;18.91;0.23;0.1;41.516925810026;43.43186701526712
3302;JAWA TENGAH;BANYUMAS ;19.34;0.13;0.02;46.9983175325202;42.83663400480595
3303;JAWA TENGAH;PURBALINGGA ;17.15;0.25;0.08;42.3220736756168;43.274982569877814
3304;JAWA TENGAH;BANJARNEGARA ;19.57;0.08;0.01;39.4605933005426;42.7969785505445
3305;JAWA TENGAH;KEBUMEN ;17.26;0.29;0.07;44.3133470063359;43.459137692425266
3306;JAWA TENGAH;PURWOREJO ;19.45;0.43;0.02;43.250852107112;43.8835178084285
3307;JAWA TENGAH;WONOSOBO ;16.52;0.32;0.03;40.3034456106531;43.02666240014111
3308;JAWA TENGAH;MAGELANG ;15.69;0.41;0.02;42.3953469489405;43.25534791675448
3309;JAWA TENGAH;BOYOLALI ;20.24;0.25;0.07;43.1397398694895;43.79386028726371
3310;JAWA TENGAH;KLATEN ;14.31;0.41;0.07;48.0085528538184;42.49276688382838
3311;JAWA TENGAH;SUKOHARJO ;16.87;0.52;0.03;47.8197916399629;43.905131604453665
3312;JAWA TENGAH;WONOGIRI ;19.57;0.09;0.01;43.8011409489249;42.7969785505445
3313;JAWA TENGAH;KARANGANYAR ;18.19;0.21;0.04;46.5918895522702;43.17268514493063
