idkab;nmprov;nmkab;persen_anggaran_kesehatan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
1671;SUMATERA SELATAN;PALEMBANG KOTA;14.85;1.52;0.03;50.3347678425306;47.75253555880286
1672;SUMATERA SELATAN;PRABUMULIH KOTA;18.41;0.0;0.03;50.8870886548102;42.1747203932514
1673;SUMATERA SELATAN;PAGAR ALAM KOTA;20.28;0.01;0.05;47.881982411917;43.16892189296398
1674;SUMATERA SELATAN;LUBUKLINGGAU KOTA;17.74;0.54;0.02;48.3645408851328;44.36741416689134
1701;BENGKULU;BENGKULU SELATAN ;15.68;0.04;0.02;49.4009483166375;41.08659202140878
1702;BENGKULU;REJANG LEBONG ;20.51;0.64;0.02;45.7209742694037;46.07887005647972
1703;BENGKULU;BENGKULU UTARA ;16.25;0.24;0.04;47.1284942339497;42.39537656663694
1704;BENGKULU;KAUR ;13.81;0.13;0.05;42.5703014014118;40.83949484509374
1705;BENGKULU;SELUMA ;14.02;0.01;0.0;44.6828925860597;40.09201735727122
1706;BENGKULU;MUKOMUKO ;15.86;0.15;0.04;49.7766311904523;41.796235876446076
1707;BENGKULU;LEBONG ;13.85;0.21;0.5;44.6014779984783;43.71274477912663
1708;BENGKULU;KEPAHIANG ;16.28;0.66;0.05;44.4856175947875;44.44534082069834
1709;BENGKULU;BENGKULU TENGAH ;14.35;0.07;0.02;45.5578203357221;40.632902051167854
1771;BENGKULU;BENGKULU KOTA;15.66;0.37;0.13;55.8969946719598;43.240228054124174
1801;LAMPUNG;LAMPUNG BARAT ;17.15;0.23;0.09;42.4404164304592;43.02630663564393
1802;LAMPUNG;TANGGAMUS ;12.63;0.08;0.02;41.7951648320186;39.91031691637679
1803;LAMPUNG;LAMPUNG SELATAN ;16.52;0.04;0.12;41.0980629942983;42.01317282369127
1804;LAMPUNG;LAMPUNG TIMUR ;11.92;0.1;0.05;40.8195861026712;39.85211674799633
1805;LAMPUNG;LAMPUNG TENGAH ;11.32;0.04;0.09;42.2102564875602;39.52078715530774
1806;LAMPUNG;LAMPUNG UTARA ;12.57;0.34;0.06;40.3190015235753;41.33035095530135
1807;LAMPUNG;WAY KANAN ;14.34;0.11;0.07;41.0491120702265;41.0924634144903
1808;LAMPUNG;TULANGBAWANG ;15.62;0.17;0.06;37.5033885359349;41.89331294128625
1809;LAMPUNG;PESAWARAN ;8.99;0.07;0.04;41.0414282937185;38.34423551713792
1810;LAMPUNG;PRINGSEWU ;15.19;0.13;0.14;42.302958648472;41.95268044727815
1811;LAMPUNG;MESUJI ;17.97;0.03;0.03;37.2811444987665;42.11933805652946
1812;LAMPUNG;TULANG BAWANG BARAT ;10.5;0.17;0.07;41.8328441345563;39.656990207095646
1813;LAMPUNG;PESISIR BARAT ;9.38;0.21;0.0;41.4466011574304;38.95900586765782
1871;LAMPUNG;BANDAR LAMPUNG KOTA;14.42;0.05;0.01;51.3414655719251;40.51480875316961
1872;LAMPUNG;METRO KOTA;31.22;0.14;0.03;54.5848717886523;48.568156147204945
1901;KEPULAUAN BANGKA BELITUNG;BANGKA ;17.7;0.6;0.07;45.0484006832202;44.90790529467632
1902;KEPULAUAN BANGKA BELITUNG;BELITUNG ;22.08;0.69;0.13;48.9508612643927;47.623107286963844
