idkab;nmprov;nmkab;persen_anggaran_bencana;persen_anggaran_kesehatan;persen_anggaran_pangan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
1671;SUMATERA SELATAN;PALEMBANG KOTA;0.01;14.85;0.02;1.52;0.03;50.3347678425306;48.06131774937923
1672;SUMATERA SELATAN;PRABUMULIH KOTA;0.02;18.41;0.1;0.0;0.03;50.8870886548102;42.461586224878914
1673;SUMATERA SELATAN;PAGAR ALAM KOTA;0.01;20.28;0.13;0.01;0.05;47.881982411917;43.400325209057414
1674;SUMATERA SELATAN;LUBUKLINGGAU KOTA;0.05;17.74;0.13;0.54;0.02;48.3645408851328;44.540005097352264
1701;BENGKULU;BENGKULU SELATAN ;0.66;15.68;0.4;0.04;0.02;49.4009483166375;40.65984333549531
1702;BENGKULU;REJANG LEBONG ;0.12;20.51;0.12;0.64;0.02;45.7209742694037;46.21675479252202
1703;BENGKULU;BENGKULU UTARA ;0.62;16.25;0.01;0.24;0.04;47.1284942339497;42.65141843299213
1704;BENGKULU;KAUR ;1.22;13.81;0.18;0.13;0.05;42.5703014014118;40.64429075313382
1705;BENGKULU;SELUMA ;0.05;14.02;0.02;0.01;0.0;44.6828925860597;40.52834771344064
1706;BENGKULU;MUKOMUKO ;0.12;15.86;0.15;0.15;0.04;49.7766311904523;41.97328290526062
1707;BENGKULU;LEBONG ;0.08;13.85;0.31;0.21;0.5;44.6014779984783;43.84044146091164
1708;BENGKULU;KEPAHIANG ;0.07;16.28;0.08;0.66;0.05;44.4856175947875;44.71248422234728
1709;BENGKULU;BENGKULU TENGAH ;0.05;14.35;0.06;0.07;0.02;45.5578203357221;40.999770451049244
1771;BENGKULU;BENGKULU KOTA;0.15;15.66;0.08;0.37;0.13;55.8969946719598;43.55203713034731
1801;LAMPUNG;LAMPUNG BARAT ;1.0;17.15;0.17;0.23;0.09;42.4404164304592;42.90040578722426
1802;LAMPUNG;TANGGAMUS ;0.4;12.63;0.24;0.08;0.02;41.7951648320186;39.8642925556796
1803;LAMPUNG;LAMPUNG SELATAN ;0.36;16.52;0.2;0.04;0.12;41.0980629942983;42.07021640939522
1804;LAMPUNG;LAMPUNG TIMUR ;0.16;11.92;0.31;0.1;0.05;40.8195861026712;39.774706800226106
1805;LAMPUNG;LAMPUNG TENGAH ;0.11;11.32;0.36;0.04;0.09;42.2102564875602;39.399696640975066
1806;LAMPUNG;LAMPUNG UTARA ;0.4;12.57;0.04;0.34;0.06;40.3190015235753;41.628961100957255
1807;LAMPUNG;WAY KANAN ;0.12;14.34;0.08;0.11;0.07;41.0491120702265;41.42147430108395
1808;LAMPUNG;TULANGBAWANG ;0.1;15.62;0.43;0.17;0.06;37.5033885359349;41.59372140753684
1809;LAMPUNG;PESAWARAN ;0.37;8.99;0.13;0.07;0.04;41.0414282937185;38.53815539777718
1810;LAMPUNG;PRINGSEWU ;0.05;15.19;0.47;0.13;0.14;42.302958648472;41.64201149771765
1811;LAMPUNG;MESUJI ;0.1;17.97;0.76;0.03;0.03;37.2811444987665;41.222435263816024
1812;LAMPUNG;TULANG BAWANG BARAT ;0.07;10.5;0.09;0.17;0.07;41.8328441345563;40.00690287317548
