idkab;nmprov;nmkab;persen_anggaran_bencana;persen_anggaran_kesehatan;persen_anggaran_pangan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
9105;PAPUA BARAT;MANOKWARI ;0.09;13.43;0.07;1.41;0.02;40.7755481517709;46.755960101967034
9106;PAPUA BARAT;SORONG SELATAN ;0.18;12.4;0.59;0.3;0.22;29.7957735195208;41.42565396791704
9108;PAPUA BARAT;RAJA AMPAT ;0.85;16.46;0.13;0.84;0.06;29.1256516626194;45.35300245813436
9109;PAPUA BARAT;TAMBRAUW ;0.99;25.91;0.29;0.56;0.01;24.1118973753366;47.59503507183236
9110;PAPUA BARAT;MAYBRAT ;0.02;18.65;0.11;0.02;0.02;34.4618418244402;42.582401017566426
9111;PAPUA BARAT;MANOKWARI SELATAN ;0.03;8.62;0.03;0.13;0.02;36.228925263602;38.81448085467738
9171;PAPUA BARAT;SORONG KOTA;0.11;19.7;0.47;1.29;0.33;48.3761148458726;50.10032108668186
9401;PAPUA;MERAUKE ;0.05;16.8;0.44;0.37;0.12;36.0885725119253;43.39273778864394
9402;PAPUA;JAYAWIJAYA ;0.01;18.9;0.4;0.53;0.03;25.4742142845228;44.60203056488087
9403;PAPUA;JAYAPURA ;8.66;12.42;0.26;0.35;0.19;40.2857917934003;39.43393463802342
9404;PAPUA;NABIRE ;0.45;17.78;0.24;0.13;0.06;36.2309265055919;42.58448774388129
9409;PAPUA;BIAK NUMFOR ;0.82;16.71;0.16;1.15;0.02;38.2220970957798;46.61334910172798
9410;PAPUA;PANIAI ;0.03;14.61;0.04;0.37;0.03;15.3099179539541;42.60119552406884
9411;PAPUA;PUNCAK JAYA ;1.51;12.71;0.2;0.0;0.09;15.3413408628406;39.67300822986129
9412;PAPUA;MIMIKA ;0.04;12.72;0.3;0.66;0.13;30.5600431127894;43.24588678323843
9414;PAPUA;MAPPI ;0.01;21.39;0.84;0.13;0.11;22.3892222399126;43.55383828192315
9415;PAPUA;ASMAT ;0.4;18.31;0.45;0.01;0.01;15.7508936622277;41.611780947366995
9417;PAPUA;PEGUNUNGAN BINTANG ;0.57;12.77;0.19;0.51;0.16;16.5548185524522;42.782460100354825
9419;PAPUA;SARMI ;1.14;11.16;0.46;0.26;0.09;33.8137921665343;39.85034836561986
9420;PAPUA;KEEROM ;0.42;10.86;0.79;0.06;0.37;33.1506556222288;40.107831359025525
9427;PAPUA;SUPIORI ;0.6;10.5;0.29;0.63;0.07;38.5901614026384;41.616349778746
9430;PAPUA;LANNY JAYA ;0.05;15.75;0.07;0.07;0.02;15.2033042861871;41.59825472404084
9431;PAPUA;MAMBERAMO TENGAH ;0.07;7.28;0.2;0.11;0.11;23.7310647790369;38.35808790921001
9432;PAPUA;YALIMO ;1.68;6.62;0.33;0.46;0.02;19.362081515251;38.41992412196352
9471;PAPUA;JAYAPURA KOTA;0.22;10.5;0.2;0.29;0.08;51.4012090240476;40.381173096759255
