"","idkab","expo_index","sensi_index","adap_index","hazard_score","adap_score","vul_idx","persen_anggaran_bencana","persen_anggaran_jalan","persen_anggaran_kesehatan","persen_anggaran_pangan","persen_anggaran_sampah","persen_anggaran_lh"
"94","1507",2.98004509846889,8.69471525848846,39.0559264916049,5.83738017847868,39.0559264916049,-0.401859818085108,0.15,4.44,14.37,0.43,0.47,0.13
"95","1508",7.91279007136222,9.36315069398953,41.0272233984671,8.63797038267588,41.0272233984671,-0.39336431787113,0.15,NA,18.31,0.07,0.26,0.01
"96","1509",8.10013397431623,8.483478525539,45.4575053931699,8.29180624992761,45.4575053931699,-0.495503601097492,0.74,NA,18.45,0.04,0.53,0.02
"97","1571",1.71999246411862,3.92447941809644,52.1435918402339,2.82223594110753,52.1435918402339,-0.757974315788913,0.08,NA,14.91,0.1,1.81,0.12
"98","1572",7.6666287087643,7.03062189048263,57.5618636094455,7.34862529962346,57.5618636094455,-0.762784447401987,0.33,3.37,19.49,0.16,0.72,0.32
"99","1601",6.55636260714937,9.8849808846884,45.550738892438,8.22067174591888,45.550738892438,-0.480987842027637,0.19,NA,12.57,0.12,0.16,0.11
"100","1602",13.1806946626682,12.332645577254,37.459781307314,12.7566701199611,37.459781307314,-0.230089894478603,0.09,NA,12.99,0.19,0.2,0.14
"101","1603",17.9708244873538,9.26445061178998,44.1709840795326,13.6176375495719,44.1709840795326,-0.38711164720891,0.17,NA,17.1,0.52,0.2,0.1
"102","1604",7.04233690075968,10.1838271385805,44.4263058440145,8.61308201967008,44.4263058440145,-0.449919997770959,0.11,NA,15.95,0.09,0.18,0.05
"103","1605",3.2695395360782,11.0434127954999,40.8697408928296,7.15647616578907,40.8697408928296,-0.390007085162008,0.03,NA,14.79,0.32,0.14,0.15
"104","1606",9.6173417302335,9.97532313611026,40.8780723326917,9.79633243317188,40.8780723326917,-0.366874010666624,0.4,NA,18.69,0.37,0.83,0.12
"105","1607",10.1998668503758,10.0276888664892,35.8370963463383,10.1137778584325,35.8370963463383,-0.263433943735088,1.23,NA,11.34,0.19,0.23,0.15
"106","1608",6.90814968301565,13.341275751272,36.3875109488568,10.1247127171438,36.3875109488568,-0.233079491990649,0.02,NA,12.13,0.09,NA,0.02
"107","1609",3.3483301169984,10.1488724266518,40.963671696747,6.74860127182509,40.963671696747,-0.408533711202834,0.59,4.88,16.19,0.52,0.18,0.02
"108","1610",17.7329677891865,10.2149399029999,40.9200401791956,13.9739538460932,40.9200401791956,-0.306978638375084,0.65,NA,12.3,0.23,0.28,0.08
"109","1611",3.46149140580342,14.4082469159727,37.1734565756896,8.93486916088807,37.1734565756896,-0.251685691960771,0.13,NA,14.72,0.08,0.28,0.1
"110","1612",5.22499294160284,10.7948726694576,42.8033886650074,8.00993280553024,42.8033886650074,-0.419026382561426,0.37,NA,12.11,0.17,0.04,0.18
"111","1613",2.89852039237811,11.0804123655933,37.5957333608499,6.9894663789857,37.5957333608499,-0.327947088050192,0.07,8.32,12.71,0.66,0.05,0.08
"112","1671",0.55895613887861,3.3590707723853,50.3347678425306,1.95901345563195,50.3347678425306,-0.741585127148179,0.01,NA,14.85,0.02,1.52,0.03
"113","1672",1.42302447678537,6.91148874923737,50.8870886548102,4.16725661301137,50.8870886548102,-0.67793981838788,0.02,NA,18.41,0.1,0,0.03
"114","1673",1.44070570140383,8.16447247414027,47.881982411917,4.80258908777205,47.881982411917,-0.595010428124349,0.01,NA,20.28,0.13,0.01,0.05
"115","1674",1.24364878885686,5.81598464118207,48.3645408851328,3.52981671501946,48.3645408851328,-0.65104745224102,0.05,NA,17.74,0.13,0.54,0.02
"116","1701",4.4207517593748,10.5490404042363,49.4009483166375,7.48489608180554,49.4009483166375,-0.558112998538257,0.66,3.66,15.68,0.4,0.04,0.02
"117","1702",3.15706686392686,9.15906884039896,45.7209742694037,6.15806785216291,45.7209742694037,-0.521795973624234,0.12,3.65,20.51,0.12,0.64,0.02
"118","1703",1.98178858331602,10.5982126499272,47.1284942339497,6.2900006166216,47.1284942339497,-0.529663818751244,0.62,1.55,16.25,0.01,0.24,0.04
"119","1704",7.13791298112022,14.5302573951195,42.5703014014118,10.8340851881198,42.5703014014118,-0.32927353165771,1.22,NA,13.81,0.18,0.13,0.05
"120","1705",5.54789841710198,12.1459484856902,44.6828925860597,8.8469234513961,44.6828925860597,-0.427449014084719,0.05,NA,14.02,0.02,0.01,0
"121","1706",1.64739564304833,10.040950152228,49.7766311904523,5.84417289763814,49.7766311904523,-0.594407612800816,0.12,2.58,15.86,0.15,0.15,0.04
"122","1707",2.97543809119976,10.4173198200741,44.6014779984783,6.69637895563694,44.6014779984783,-0.476951583972747,0.08,NA,13.85,0.31,0.21,0.5
"123","1708",1.47440574731768,11.5030193294613,44.4856175947875,6.48871253838949,44.4856175947875,-0.464144163207083,0.07,7.78,16.28,0.08,0.66,0.05
"124","1709",3.18987022516052,9.4026228603894,45.5578203357221,6.29624654277496,45.5578203357221,-0.513691073503959,0.05,6.42,14.35,0.06,0.07,0.02
"125","1771",1.81656028583126,7.35099286862918,55.8969946719598,4.58377657723022,55.8969946719598,-0.764548348980439,0.15,NA,15.66,0.08,0.37,0.13
"126","1801",6.75549756732759,14.6396582438395,42.4404164304592,10.6975779055836,42.4404164304592,-0.327273276070707,1,NA,17.15,0.17,0.23,0.09
"127","1802",7.76732345687616,12.3349980467221,41.7951648320186,10.0511607517992,41.7951648320186,-0.352093770572188,0.4,NA,12.63,0.24,0.08,0.02
"128","1803",7.5874327382144,9.82338442609321,41.0980629942983,8.7054085821538,41.0980629942983,-0.38812750178867,0.36,5.25,16.52,0.2,0.04,0.12
"129","1804",9.12341877145262,9.56634860891971,40.8195861026712,9.34488369018617,40.8195861026712,-0.377027291691201,0.16,NA,11.92,0.31,0.1,0.05
"130","1805",13.1336426055616,10.1088891240039,42.2102564875602,11.6212658647827,42.2102564875602,-0.366000105405336,0.11,7.22,11.32,0.36,0.04,0.09
"131","1806",3.57770693965806,8.68750322240734,40.3190015235753,6.1326050810327,40.3190015235753,-0.422523975073443,0.4,NA,12.57,0.04,0.34,0.06
"132","1807",10.2921283787687,11.2297372135235,41.0491120702265,10.7609327961461,41.0491120702265,-0.341376233078956,0.12,6.5,14.34,0.08,0.11,0.07
"133","1808",2.74299932348627,10.3017571092748,37.5033885359349,6.52237821638051,37.5033885359349,-0.342223980555164,0.1,NA,15.62,0.43,0.17,0.06
"134","1809",7.01140642162456,10.643837191231,41.0414282937185,8.82762180642777,41.0414282937185,-0.375193602937488,0.37,5.61,8.99,0.13,0.07,0.04
"135","1810",1.56703530472799,8.04102715404303,42.302958648472,4.80403122938551,42.302958648472,-0.487608365599192,0.05,3.91,15.19,0.47,0.13,0.14
"136","1811",4.52821540487837,10.9974348964932,37.2811444987665,7.76282515068576,37.2811444987665,-0.312140126421353,0.1,5.03,17.97,0.76,0.03,0.03
"137","1812",2.96972200147078,10.1717073795748,41.8328441345563,6.57071469052281,41.8328441345563,-0.427677755589521,0.07,NA,10.5,0.09,0.17,0.07
"138","1813",8.21308286534159,18.3438591877573,41.4466011574304,13.2784710265494,41.4466011574304,-0.226418617930007,0.04,12.56,9.38,0.09,0.21,0
"139","1871",4.52400608723473,5.79326969504495,51.3414655719251,5.15863789113984,51.3414655719251,-0.686922782442841,0.42,NA,14.42,0.02,0.05,0.01
"140","1872",0.49549431135323,4.34965619651384,54.5848717886523,2.42257525393354,54.5848717886523,-0.80590127666533,0.07,2.38,31.22,0.12,0.14,0.03
"141","1901",5.00661580283762,8.79926944245294,45.0484006832202,6.90294262264528,45.0484006832202,-0.502815448145995,0.09,8.37,17.7,0.02,0.6,0.07
"142","1902",3.17719465693877,11.7382492969899,48.9508612643927,7.45772197696433,48.9508612643927,-0.53500682924166,0.23,8.03,22.08,0.1,0.69,0.13
"143","1903",1.94808853740217,11.2664813291739,41.5994808484888,6.60728493328806,41.5994808484888,-0.409087983270335,0.07,NA,18.23,0.13,1.33,0.12
"144","1904",1.65368108931907,10.8005233672344,43.6028428938199,6.22710222827676,43.6028428938199,-0.459209373852391,0.5,NA,19.02,0.13,0.17,0.08
"145","1905",1.59876453336515,11.5664955327437,40.3702745032028,6.58263003305442,40.3702745032028,-0.381726155105509,0.03,NA,19.03,0.06,0.38,0.02
"146","1906",0.737545742732559,12.6283666029491,49.6202524935252,6.68295617284084,49.6202524935252,-0.547785021262874,0.52,NA,11.14,0.11,0.75,0.13
"147","1971",2.24721600410901,4.14257026868861,51.3301183292097,3.19489313639881,51.3301183292097,-0.734247700951125,0.49,3.53,19.35,0.04,1.69,0.15
"148","2101",4.31288417548843,13.472757712816,44.8081812697778,8.8928209441522,44.8081812697778,-0.412864117526201,0.06,NA,17.07,0.12,0.13,0.04
"149","2102",1.52597472044481,13.4995263724619,52.1292538673928,7.51275054645333,52.1292538673928,-0.574526094763544,0.21,NA,16.64,0.07,1.23,0.01
"150","2103",2.69594134145429,13.2139483231964,49.9936799220652,7.95494483232533,49.9936799220652,-0.530253685957106,0.07,6.2,17.87,0.18,0.26,0.02
"151","2104",4.56023364153955,15.4235606512455,45.7161372124359,9.99189714639255,45.7161372124359,-0.39128687888426,0.09,NA,15.98,0.06,0.35,0.05
"152","2105",1.5494510557856,15.261349266774,48.6539472160439,8.40540016127978,48.6539472160439,-0.472572669174476,0.07,NA,17.02,0.15,0.28,0.02
"153","2171",3.04625371659233,10.6053284553339,48.7191318493412,6.82579108596311,48.7191318493412,-0.553219537972681,0,6.9,11.46,0.04,2.87,0.04
